,experiment_name,date,nAlive,nNI,nCadaver,nTot
0,03-22-2019-18-21-01__Circadian_CsWF-BoardC9_MF_Emuscae_1-128_Day3,03-22-2019,95,27,6,128
1,03-22-2019-18-37-18__Circadian_CsWF-BoardC3_MF_Emuscae_1-128_Day3,03-22-2019,113,4,11,128
2,03-23-2019-18-32-19__Circadian_CsWF-BoardC9_MF_Emuscae_1-128_Day4,03-23-2019,55,43,30,128
3,03-23-2019-18-35-30__Circadian_CsWF-BoardC3_MF_Emuscae_1-128_Day4,03-23-2019,73,22,33,128
4,04-04-2019-18-59-55__Circadian_Cs_WF_exp_MF_Emuscae_1-128_Day1,04-04-2019,45,6,77,128
5,04-05-2019-21-14-39__Circadian_CsWF-BoardC4_MF_Emuscae_1-128_Day4,04-05-2019,23,84,21,128
6,04-05-2019-21-17-24__Circadian_CsWF-BoardC14_MF_Emuscae_1-128_Day4,04-05-2019,13,74,41,128
7,04-06-2019-20-16-55__Circadian_CsWF-BoardC15_MF_Emuscae_1-128_Day4,04-06-2019,16,96,16,128
8,04-11-2019-19-32-45__Circadian_CsWF-BoardC12_MF_Emuscae_1-128_Day4,04-11-2019,24,73,31,128
9,04-15-2019-18-00-15__Circadian_CsWF-BoardC15_MF_Emuscae_1-128_Day3,04-15-2019,123,2,3,128
10,04-15-2019-18-03-17__Circadian_CsWF-BoardC2_MF_Emuscae_1-128_Day3,04-15-2019,116,4,8,128
11,04-16-2019-18-04-50__Circadian_CsWF-BoardC2_MF_Emuscae_1-128_Day4,04-16-2019,98,19,11,128
12,04-16-2019-18-10-44__Circadian_CsWF-BoardC15_MF_Emuscae_1-128_Day4,04-16-2019,109,9,10,128
13,04-21-2019-20-51-44__Circadian_CsWF-BoardC3_MF_Emuscae_1-128_Day3,04-21-2019,57,2,69,128
14,05-09-2019-17-48-12__Circadian_Ethology-CsWF-BoardC10_MF_Emuscae_1-128_Day3,05-09-2019,58,4,66,128
